Article,Topic,Date,Party,Changes from Previous Version,,,
Severability,Renegotiation Obligation,3/15/2024,University,Changed: Weakened to 'agree to discuss' instead of 'bargain in good faith'; added no obligation to reopen/bargain unless both parties agree (was: shall bargain in good faith),,,
Severability,Renegotiation Obligation,5/31/2024,Union,Changed: Parties 'shall meet within 30 days' to 'renegotiate in conformity with law'; new language incorporated into agreement (was: discuss with no obligation),,,
Severability,Renegotiation Obligation,6/18/2024,University,Changed: Compromise - 'agree to discuss within 30 days' but no obligation to reopen/bargain unless both agree (was: shall meet to renegotiate),,,
Severability,Renegotiation Obligation,8/26/2024,Union,Changed: Strengthened to 'discuss and renegotiate affected article provisions' within 30 days following written request; removed no-obligation clause; added flexibility for delay/pause by mutual agreement (was: discuss with no obligation to bargain),,,
Severability,Renegotiation Obligation,9/19/2024,Tentative Agreement,Final: Parties agree to discuss and renegotiate affected provisions within 30 days following written request; renegotiation may be delayed/paused by mutual agreement (Union's stronger obligation language prevailed over University's optional discussion),,,
Accessibility,Non-Retaliation Protection,8/26/2024,University,Initial proposal: No GSW penalized for non-completion of work due to lack of access to spaces and systems where work needs are met,,,
Accessibility,Documentation Requirements,8/26/2024,University,Initial proposal: Formal medical documentation not required for flexible timelines/locations for specific conditions,,,
Accessibility,Request Response Timeline,8/26/2024,University,"Initial proposal: Access requests receive decision within 2 business days if approved immediately, 5 business days if not; if cannot meet request, explanation and alternative provided",,,
Accessibility,Proactive Access - Physical Spaces,8/26/2024,University,"Initial proposal: By start of contract, implement centralized processes for changing offices and classrooms to meet GSWs' physical, sensory and/or other health needs",,,
Accessibility,Proactive Access - Communication Support,8/26/2024,University,Initial proposal: Provide and bear cost for ASL interpreters and CART services at any event upon request or where reasonable to expect D/deaf or Hard-of-Hearing person might attend,,,
Accessibility,Proactive Access - Technology,8/26/2024,University,"Initial proposal: Provide and bear cost for universal, modern text-to-speech and speech-to-text software usable on any device, including updates and new releases",,,
Accessibility,Accessibility Audit,8/26/2024,University,Initial proposal: Complete annual accessibility audit on all campuses within one calendar year; committee with Union and University representatives (up to 3 each) reviews and makes recommendations; University takes reasonable steps to implement within one month,,,
Accessibility,Accommodation Provider Notification,8/26/2024,University,"Initial proposal: University provides GSWs receiving accommodations with names, contact info, schedules of service providers at least 24 hours ahead of usage; includes third-party providers",,,
Accessibility,Staffing Requirements,8/26/2024,University,Initial proposal: Maintain at least 1 FTE staff for disability accommodations; full-time staff for implementing accessibility-related responsibilities; trained staff in disability lens and asset-based models,,,
Appointment Security,Appointment Letter Timing,4/3/2024,Union,Initial proposal: Appointment letters provided at least 90 calendar days before appointment start date,,,
Appointment Security,Appointment Letter Timing,12/20/2024,Union,"Changed: Different timelines - 45 calendar days for Instructors of Record, 30 calendar days for all else (was: 90 days for all)",,,
Appointment Security,Salaried Worker Minimum Term,4/3/2024,Union,"Initial proposal: GSWs working 20+ hours/week must be salaried with minimum term of one academic year (Fall, Spring, Summer)",,,
Appointment Security,Salaried Worker Minimum Term,12/20/2024,Union,"Changed: Reduced minimum term to one academic term (fall, spring, summer 1, or summer 2) instead of full academic year (was: one academic year)",,,
Appointment Security,Appointment Letter Content - Flexibility,4/3/2024,Union,Initial proposal: All information must be included in appointment letter; undetermined items conveyed within 10 calendar days,,,
Appointment Security,Appointment Letter Content - Flexibility,12/20/2024,Union,"Changed: Added 'if known at time of letter' for supervisor and work schedule; specific deadline of 10 business days before start for items C and E (was: all items required, 10 days for undetermined)",,,
Appointment Security,Appointment Letter Content - Clerical Services,4/3/2024,Union,Initial proposal: Statement that GSW will not be expected to provide clerical services or tasks outside appointment classification,,,
Appointment Security,Appointment Letter Content - Clerical Services,12/20/2024,Union,Changed: Removed requirement for clerical services statement in appointment letter (was: required statement),,,
Appointment Security,Cross-Department Work Rights,4/3/2024,Union,Initial proposal: No GSW shall be denied right to work within bargaining unit outside their program department,,,
Appointment Security,Cross-Department Work Rights,3/11/2025,Union,Changed: Added qualifier 'as permissible by law' to cross-department work rights (was: absolute right),,,
Appointment Security,CBA Reference Language,12/20/2024,Union,"Changed: Changed statement from 'subject to' a CBA to 'covered by' a CBA, added link to agreement (was: subject to)",,,
Appointments and Reappointments,Appointment Letter Timing,3/15/2024,Union,Initial proposal: GSWs beyond guaranteed funding notified at least 90 calendar days before appointment start (no general timing specified for others),,,
Appointments and Reappointments,Appointment Letter Timing,5/15/2024,University,Changed: University makes reasonable efforts for 30 days before start; IoR receives assignments 45 days before fall/spring (was: 90 days for beyond-funding GSWs only),,,
Appointments and Reappointments,Appointment Letter Timing,6/18/2024,University,No change: Maintained 30 days general,45 days for IoR,,
Appointments and Reappointments,Appointment Letter Timing,9/19/2024,Union,"Changed: Increased to 45 days general, 60 days for IoR (was: University proposed 30/45)",,,
Appointments and Reappointments,Appointment Letter Timing,3/11/2025,Union,"Changed: Reduced back to 30 days general, 45 days for IoR (was: 45/60)",,,
Appointments and Reappointments,Guaranteed Funding Notification,3/15/2024,Union,Initial proposal: GSWs beyond guaranteed funding years notified at least 90 days before semester start; admission letters include total years of guaranteed funding,,,
Appointments and Reappointments,Guaranteed Funding Notification,5/15/2024,University,"Changed: Removed all guaranteed funding provisions (was: 90 days notice, tracking of guaranteed years)",,,
Appointments and Reappointments,Guaranteed Funding Notification,9/19/2024,Union,Changed: Re-proposed guaranteed funding provisions with 90 days notice (was: University removed entirely),,,
Appointments and Reappointments,Guaranteed Funding Notification,3/11/2025,Union,Changed: Reduced notice to 45 days for beyond-funding GSWs (was: 90 days),,,
Appointments and Reappointments,Appointment Letter Content Requirements,3/15/2024,Union,Initial proposal: Not specified in Appointments article (referenced Appointment Security article for detailed requirements),,,
Appointments and Reappointments,Appointment Letter Content Requirements,5/15/2024,University,"Changed: Specified 6 basic items - title, dates, college/dept/supervisor if known, terms/stipend, general scope, contact (was: referenced other article)",,,
Appointments and Reappointments,Appointment Letter Content Requirements,6/18/2024,University,Changed: Added 'anticipated disbursement' and 'anticipated weekly schedule if known' to letter requirements (was: general terms and scope only),,,
Appointments and Reappointments,Appointment Letter Content Requirements,3/11/2025,Union,"Changed: Union proposed extensive 14-item list including detailed duty descriptions, non-discrimination statement, costs, contact info (was: University's 6 basic items)",,,
Appointments and Reappointments,Appointment Letter Content Requirements,3/25/2025,University,"Changed: Added 3 new requirements - course assignment for TAs, link to union contract, FERPA waiver information (was: 6 basic items)",,,
Appointments and Reappointments,Written Appointment Procedures,3/15/2024,Union,Initial proposal: Each department must have written procedures covering 7 areas; extensive GSW input required including draft review and collective meeting,,,
Appointments and Reappointments,Written Appointment Procedures,5/15/2024,University,Changed: Removed all requirements for written departmental procedures (was: detailed procedure requirements),,,
Appointments and Reappointments,Written Appointment Procedures,9/19/2024,Union,Changed: Re-proposed written procedures with 7 coverage areas and GSW feedback mechanisms (was: University removed entirely),,,
Appointments and Reappointments,Written Appointment Procedures,3/11/2025,Union,Changed: Simplified GSW input to 'mechanism for soliciting advice such as committee or draft comments' (was: extensive draft review and collective meetings),,,
Appointments and Reappointments,Appointment Criteria Transparency,3/15/2024,Union,"Initial proposal: Departments must clarify in writing criteria addressing eligibility, ranking, evaluative factors, experience weighting, equitable distribution; decisions not arbitrary/capricious/punitive/discriminatory",,,
Appointments and Reappointments,Appointment Criteria Transparency,5/15/2024,University,Changed: Removed all appointment criteria requirements (was: detailed transparency requirements),,,
Appointments and Reappointments,Appointment Criteria Transparency,9/19/2024,Union,Changed: Re-proposed appointment criteria requirements with 4 areas to address (was: University removed entirely),,,
Appointments and Reappointments,Minimum Appointment Term,5/15/2024,University,Initial proposal: All stipended appointments for at least 1 academic term; University makes reasonable efforts for longer terms when possible,,,
Appointments and Reappointments,Minimum Appointment Term,9/19/2024,Union,No change: Accepted 1 academic term minimum with reasonable efforts for longer,,,
Appointments and Reappointments,Union Contract Reference,3/25/2025,University,New: Added requirement to include link to union contract in appointment letters,,,
Appointments and Reappointments,FERPA Waiver Information,3/25/2025,University,New: Added requirement to include information about submitting FERPA waiver for release of information to union,,,
Hourly Assignments,Assignment Terms and Conditions,9/19/2024,University,Initial proposal: Length set in posting; subject to availability and funding; subject to change or cancellation; no guarantee of additional assignments; maintains work study rules and payment processes,,,
Artificial Intelligence,AI Definition and Scope,8/2/2024,Union,"Initial proposal: Comprehensive 5-part definition including machine learning, neural networks, cognitive systems, automated decision-making; excludes simple automation and rule-based systems",,,
Artificial Intelligence,Job Replacement Prohibition,8/2/2024,Union,"Initial proposal: University cannot use AI to replace any position governed by agreement or traditionally filled by GSW, directly or indirectly",,,
Artificial Intelligence,Employment Decision Prohibition,8/2/2024,Union,"Initial proposal: AI cannot be used in hiring, position distribution, salaries, discipline, dismissals, or other employment decisions due to risks of discrimination",,,
Artificial Intelligence,Monitoring Prohibition,8/2/2024,Union,"Initial proposal: AI cannot monitor GSW performance, location, device usage, or productivity; no AI monitoring software required on GSW devices (personal or University-maintained)",,,
Artificial Intelligence,Oversight and Approval Process,8/2/2024,Union,"Initial proposal: 3-month notice before AI implementation; must provide testing and performance data including accuracy, bias metrics, training data; Union approval required before implementation; Union included in oversight bodies",,,
Artificial Intelligence,Monitoring and Reporting Requirements,8/2/2024,Union,Initial proposal: Appointed contact for AI accountability; semester reports on model performance; annual inventory and audits of all AI systems; initial inventory within 6 months of agreement,,,
Artificial Intelligence,AI Grievance Procedures,8/2/2024,Union,Initial proposal: Pool of neutral experts; extended grievance timeline; expert access to AI system within 14 days; expert review within 21 days; expert testimony at each grievance step,,,
Artificial Intelligence,Employee Data Prohibition,8/2/2024,Union,"Initial proposal: All GSW data (before, during, or after employment) prohibited from use in AI systems without explicit consent, regardless of purpose or anonymity",,,
Artificial Intelligence,Digital Replicas - Definition and Prohibition,8/2/2024,Union,Initial proposal: Defines Employment-Based and Independently Created Digital Replicas; University cannot use digital replica of GSW without consent and separate bargaining for that use,,,
Artificial Intelligence,Digital Alteration Prohibition,8/2/2024,Union,"Initial proposal: Cannot digitally alter audio, video, or recordings of GSWs created during employment without consent and bargaining; must include description of intended alterations",,,
Automation,Automation Definition,5/15/2024,Union,Initial proposal: Automation defined as replacement of human functions and duties by machines,robots,software,or any technology that diminishes need for human labor (in part or fully)
Automation,Position Automation Prohibition,5/15/2024,Union,"Initial proposal: Employer cannot automate any position governed by agreement or traditionally filled by GSW, directly or indirectly; cannot use automation to temporarily replace struck work",,,
Automation,Position Automation Prohibition,1/28/2025,Union,"Changed: Added protection - if position automated or GSW hours reduced through automation, GSW will be given additional work to make up lost hours (was: prohibition only, no make-up work provision)",,,
Automation,Automated Monitoring Prohibition,5/15/2024,Union,"Initial proposal: Cannot automate monitoring of GSW employment duties, performance, location, device usage, or productivity; no monitoring software on GSW devices (personal or University-maintained)",,,
Automation,Automated Monitoring Prohibition,1/28/2025,Union,"Changed: Added exception - automated location monitoring permitted for security, emergency response, disability accommodation, and access control, provided info not used to violate prohibition (was: absolute prohibition)",,,
Automation,Digital Replicas,5/15/2024,Union,"Initial proposal: Cannot use digital replica of GSW without consent and separate bargaining; consent must be clear, conspicuous, include specific description, obtained in writing prior to use",,,
Automation,Digital Replicas,1/28/2025,Union,Changed: Digital Replica definition now explicitly references Article XX: Artificial Intelligence (was: implicit definition within Automation article),,,
Discipline and Dismissal,Just Cause Standard,6/18/2024,Union,Initial proposal: University shall not discipline or dismiss GSW without just cause,,,
Discipline and Dismissal,Academic vs Non-Academic Scope,8/2/2024,University,"Changed: Academic matters (standing, progress, performance, quality, dishonesty) at University sole discretion, not grievable; discipline only for non-academic misconduct with just cause; progressive discipline not always warranted (was: just cause for all discipline/dismissal)",,,
Discipline and Dismissal,Definition of Discipline,6/18/2024,Union,"Initial proposal: Discipline includes written warnings, unpaid suspensions, or dismissal/discharge based on job-related misconduct",,,
Discipline and Dismissal,Definition of Discipline,3/25/2025,Union,"Changed: Added - paid administrative leave permitted without prior notice to investigate misconduct (was: only unpaid suspensions, no administrative leave provision)",,,
Discipline and Dismissal,Initial Remediation,6/18/2024,Union,Initial proposal: Department/supervisor shall make every effort to address concerns before disciplinary action; no decision at this stage precedential,,,
Discipline and Dismissal,Initial Remediation,8/2/2024,University,"Changed: Weakened to 'supervisors will, as best practice, attempt to address concerns' (was: shall make every effort)",,,
Discipline and Dismissal,Initial Remediation,3/25/2025,Union,Changed: Restored 'shall make every effort' language (was: University's weakened 'best practice' language),,,
Discipline and Dismissal,Investigatory Notice Requirements,6/18/2024,Union,"Initial proposal: Written notice to GSW and Union including reasons, nature of violation with policy cited/attached, potential discipline level, right to investigatory meeting, right to Union representation",,,
Discipline and Dismissal,Investigatory Notice Requirements,8/2/2024,University,"Changed: Limited to discharge cases only; notice includes conduct at issue, that discharge being considered, right to representative (was: all discipline investigations with more detailed requirements)",,,
Discipline and Dismissal,Investigatory Meeting Rights,6/18/2024,Union,"Initial proposal: GSW told specific charges, evidence, reports; Union rep can represent and speak for GSW; opportunity to respond and propose mitigation options; Weingarten rights preserved",,,
Discipline and Dismissal,Investigatory Meeting Rights,8/2/2024,University,"Changed: Only for discharge; Union rep or another bargaining unit member; availability cannot delay meeting (was: all investigations, Union rep only, comprehensive process)",,,
Discipline and Dismissal,Investigatory Meeting Rights,3/25/2025,Union,Changed: Restored Union representative right (struck through 'or another bargaining unit member'); specified rep can 'advise' GSW (was: University option for non-Union rep),,,
Discipline and Dismissal,Disciplinary Hearing,6/18/2024,Union,"Initial proposal: GSW told final outcome, evidence, reports, explanation for action; right to Union rep who can represent and speak",,,
Discipline and Dismissal,Disciplinary Hearing,8/2/2024,University,Changed: Removed disciplinary hearing requirement entirely (was: required hearing with representation rights),,,
Discipline and Dismissal,Disciplinary Hearing,3/25/2025,Union,Changed: Restored disciplinary hearing requirement with Union representation (was: University removed entirely),,,
Discipline and Dismissal,Dismissal Appeal Process,6/18/2024,Union,Initial proposal: Union may appeal dismissal to expedited arbitration; University maintains GSW in pay status until decision rendered,,,
Discipline and Dismissal,Dismissal Appeal Process,8/2/2024,University,"Changed: Union files grievance at Step 2 within 20 days; removed pay status maintenance (was: expedited arbitration, pay status maintained)",,,
Discipline and Dismissal,Dismissal Appeal Process,3/25/2025,Union,Changed: Combined approaches - Step 2 grievance within 20 days AND restored pay status maintenance until decision (was: University removed pay status),,,
Discipline and Dismissal,Confidentiality,6/18/2024,Union,Initial proposal: University maintains confidentiality to GSW and Union; documents filed separately from personnel and academic records,,,
Discipline and Dismissal,Confidentiality,8/2/2024,University,Changed: Confidentiality consistent with FERPA; Union agrees to cooperate with FERPA compliance procedures (was: absolute confidentiality with separate filing),,,
Employment Records,Definition and Scope,1/25/2024,Union,"Initial proposal: Records include appointment letters, payroll, benefits, discipline, evaluations; excludes course study, grades, academic progress, grievance records, email/electronic communication",,,
Employment Records,Definition and Scope,5/15/2024,University,"Changed: For stipended - appointment letter plus discipline unrelated to academics; for hourly - info from SEGAF including dates, pay, hours, supervisor; explicitly excludes FERPA-covered and academic records (was: broader inclusion)",,,
Employment Records,Definition and Scope,6/18/2024,University,Changed: Added written performance evaluations unrelated to academics; explicitly excludes grievances and related documents (was: just appointment letter and discipline),,,
Employment Records,Required Information Fields,1/25/2024,Union,"Initial proposal: 8 required fields - NUID, start/end dates, pay rate/stipend, hours, pay frequency, supervisor/PI, hiring department",,,
Employment Records,Required Information Fields,5/15/2024,University,Changed: Specified different fields for stipended vs hourly; hourly includes anticipated end date if reflected (was: same fields for all),,,
Employment Records,Required Information Fields,6/18/2024,University,Changed: Added 'frequency of pay' for hourly assignments (was: just pay rate),,,
Employment Records,Access Rights - Timing,1/25/2024,Union,Initial proposal: GSWs can review employment records at any time in Workday; new additions/changes within 2 business days,,,
Employment Records,Access Rights - Timing,5/15/2024,University,"Changed: Can obtain copy once per academic term by request to associate dean/SEGAF; 10 business day response time; will transition to direct systems access by year 2 of agreement (was: any time access in Workday, 2-day updates)",,,
Employment Records,Access Rights - Timing,9/19/2024,Union,Changed: Accelerated systems access to first year of agreement (was: University proposed second year),,,
Employment Records,Access Rights - Timing,10/11/2024,University,Changed: Reverted to second year of agreement for systems access (was: Union proposed first year),,,
Employment Records,Access Rights - Timing,12/20/2024,Union,Changed: Proposed within 6 months of agreement start for systems access (was: second year),,,
Employment Records,Access Rights - Timing,4/11/2025,Union,Changed: Finalized at 6 months of agreement start for online direct systems access (was: negotiating timeline),,,
Employment Records,Union Representative Access,1/25/2024,Union,Initial proposal: GSWs may authorize Union reps to review records; valid for designated period or 1 year; designee has access to all employment information,,,
Employment Records,Union Representative Access,5/15/2024,University,Changed: Removed all Union representative access provisions (was: GSW could authorize Union access),,,
Employment Records,Union Representative Access,9/19/2024,Union,Changed: Restored Union representative access through authorization; 1 year validity if not specified (was: University removed entirely),,,
Employment Records,Union Representative Access,10/11/2024,University,Changed: Access through FERPA release identified in separate article; otherwise same terms (was: Union's direct authorization),,,
Employment Records,Correction and Removal Rights,1/25/2024,Union,"Initial proposal: GSW and University may agree on removal/correction; if no agreement in 7 days, GSW can append materials; appended materials part of record and accompany disclosures; factually incorrect material corrected promptly",,,
Employment Records,Correction and Removal Rights,5/15/2024,University,"Changed: GSW expresses disagreement by email with basis; University may but not required to consider or adjust; email becomes part of record (was: agreement process, appending rights, prompt correction of errors)",,,
Employment Records,Correction and Removal Rights,9/19/2024,Union,Changed: University 'shall' consider email (was: University 'may' consider),,,
Employment Records,Correction and Removal Rights,10/11/2024,University,"Changed: Back to University 'may' consider, 'may' adjust (was: Union 'shall' consider)",,,
Employment Records,Correction and Removal Rights,12/20/2024,Union,"Changed: University 'shall consider' email, 'may adjust' (was: may consider, may adjust)",,,
Employment Records,New Materials Notification,1/25/2024,Union,Initial proposal: GSWs notified within 2 business days of new/modified materials in Workday; additional notification within 5 days for info used/may be used to negatively affect employment,,,
Employment Records,New Materials Notification,5/15/2024,University,Changed: Removed all notification requirements for new materials (was: 2-day notification with 5-day for negative info),,,
Employment Records,New Materials Notification,9/19/2024,Union,Changed: Restored notification within 2 business days upon completion of online system (was: University removed entirely),,,
Employment Records,New Materials Notification,10/11/2024,University,Changed: Added qualifier 'if University systems can accommodate this function' (was: absolute requirement),,,
Employment Records,New Materials Notification,1/28/2025,Union,Changed: Language restored per handwritten note - notification within 2 business days if material added outside normal course of business and systems can accommodate (was: debating inclusion),,,
Employment Records,New Materials Notification,4/11/2025,Union,Changed: Refined to 'if material added outside normal course of business' and systems can accommodate (was: all new materials if systems allow),,,
Employment Records,Confidentiality and Law Enforcement,1/25/2024,Union,"Initial proposal: No personally identifiable material made public without consent; confidential, not shared with outside parties including law enforcement except lawful subpoena or court order; University notifies employee of request when received",,,
Employment Records,Confidentiality and Law Enforcement,5/15/2024,University,Changed: Treated as confidential student information with University student info policies; retained per University student record retention policies (was: specific prohibitions on public disclosure and law enforcement sharing),,,
Employment Records,Confidentiality and Law Enforcement,9/19/2024,Union,"Changed: Added - GSW name, NUID, email, phone, address not shared with law enforcement including NUPD except lawful subpoena/court order (was: University's general confidentiality)",,,
Employment Records,Confidentiality and Law Enforcement,10/11/2024,University,Changed: 'Except in accordance with applicable law' instead of specific subpoena/court order (was: Union's specific exceptions),,,
Employment Records,Confidentiality and Law Enforcement,12/20/2024,Union,Changed: Back to 'except when required by lawful subpoena or court order'; added University will inform GSWs when records shared with law enforcement (was: University's broader 'applicable law'),,,
Employment Records,Confidentiality and Law Enforcement,1/28/2025,Union,No change: Maintained 'except when required by lawful subpoena or court order'; confirmed University will inform GSWs when records shared with law enforcement; handwritten note suggests considering 'applicable law' language,,,
Employment Records,Confidentiality and Law Enforcement,4/11/2025,Union,"Changed: 'Except when required by lawful subpoena, court order, or other applicable law'; University will endeavor to inform GSWs where possible, consistent with applicable law (was: absolute notification requirement)",,,
Employment Records,Retention Period,1/25/2024,Union,Initial proposal: Keep records for duration of employment and 8 years after; no disciplinary records kept post-employment,,,
Employment Records,Retention Period,5/15/2024,University,"Changed: Retained consistent with University policies on student record retention (was: specific 8 years, no post-employment discipline)",,,
Employment Records,Retention Period,5/31/2024,Union,Changed: Retained per University policies but no less than 8 years after employment; no disciplinary records post-employment (was: University's general policy),,,
Employment Records,Grievance Rights,1/25/2024,Union,Initial proposal: Current and former GSWs have right to file grievance alleging violation of this article,,,
Employment Records,Grievance Rights,5/15/2024,University,Changed: Removed specific grievance rights provision (was: explicit right for current and former GSWs),,,
Employment Records,Discipline Changes in Record,12/20/2024,Union,New: Changes to discipline outcome as result of grievances and arbitration will be reflected in GSW employment record,,,
FERPA Waiver Form,Form Purpose and Content,2/18/2025,Union,"Initial proposal: Comprehensive consent form for release of non-directory information to GENU-UAW; explains FERPA restrictions; lists 20+ data elements including employment info, wages, deductions, personal contact; opt-in or opt-out options",,,
Grievance and Arbitration,Grievance Definition,6/18/2024,Union,Initial proposal: Grievance is allegation by GSW(s) and/or Union of violation of terms and conditions of Agreement,,,
Grievance and Arbitration,Grievance Definition,8/2/2024,University,Changed: Grievance limited to complaint/dispute arising from application or interpretation of specific provision; sole exclusive process for resolving grievances (was: broader 'terms and conditions'),,,
Grievance and Arbitration,Grievance Definition,8/26/2024,Union,Changed: Accepted sole exclusive process language; grievance defined as complaint/dispute from application or interpretation of specific provision (was: Union's broader 'terms and conditions'),,,
Grievance and Arbitration,Intent and Objective,6/18/2024,Union,Initial proposal: Declared objective to encourage prompt resolution formal or informal; parties make available all known relevant facts; Union may present policy grievance at any step,,,
Grievance and Arbitration,Intent and Objective,8/2/2024,University,Changed: Removed Union's intent section entirely (was: comprehensive intent and policy grievance provisions),,,
Grievance and Arbitration,Intent and Objective,8/26/2024,Union,Changed: Restored intent section - objective to encourage prompt resolution; parties make facts available; Union may present policy grievance at any step (was: University removed entirely),,,
Grievance and Arbitration,Filing Requirements,6/18/2024,Union,"Initial proposal: Written statement of facts, specific provisions violated, remedy requested",,,
Grievance and Arbitration,Filing Requirements,8/2/2024,University,"Changed: Must specify (1) grievant(s), (2) date of violation, (3) provisions violated, (4) facts supporting each violation, (5) relief requested; must be signed by Union rep or from University/Union email; personal emails not accepted; 14-day filing deadline (was: 90 days, less specific requirements)",,,
Grievance and Arbitration,Filing Requirements,8/26/2024,Union,Changed: Maintained University's 5-point filing requirements; must be signed/dated by Union rep or electronically filed from University/Union email; restored 90-day filing deadline (was: University's 14 days),,,
Grievance and Arbitration,Filing Requirements,10/11/2024,University,Changed: Extended filing deadline to 21 days (was: 14 days),,,
Grievance and Arbitration,Filing Requirements,2/18/2025,Union,"Changed: Simplified requirements back to facts, provisions violated, remedy; must be signed/dated by Union rep or electronically filed; maintained 90-day filing deadline (was: University's 21 days with 5-point requirements)",,,
