Article,Topic,Summary
"Accessibility","Accommodation Provider Notification","Union (08-26-24, Rejected): University provides GSWs receiving accommodations with names, contact info, schedules of service providers at least 24 hours ahead of usage."
"Accessibility","Staffing Requirements","Union (08-26-24, Rejected): Maintain at least 1 FTE staff for disability accommodations; full-time staff for implementing accessibility-related responsibilities; trained staff in disability lens and asset-based models."
"Appointment Security","Appointment Letter Timing","Union (03-11-25, Rejected): Appointment letters provided 45 calendar days before start for Instructors of Record, 30 calendar days for all others."
"Appointment Security","Salaried Worker Minimum Term","Union (03-11-25, Rejected): GSWs working 20+ hours/week must be salaried with minimum term of one academic term (fall, spring, summer 1, or summer 2)."
"Appointment Security","Appointment Letter Content - Flexibility","Union (03-11-25, Rejected): All information must be included in appointment letter; if supervisor and work schedule not known at time of letter, conveyed 10 business days before start."
"Appointment Security","Cross-Department Work Rights","Union (03-11-25, Rejected): No GSW shall be denied right to work within bargaining unit outside their program department as permissible by law."
"Appointment Security","CBA Reference Language","Union (03-11-25, Rejected): Appointment letters state position is 'covered by' a collective bargaining agreement with link to agreement."
"Appointments and Reappointments","Appointment Letter Timing","University (03-25-25): University makes reasonable efforts to provide letters 30 days before start; Instructors of Record receive assignments 45 days before fall/spring semesters."
"Appointments and Reappointments","Guaranteed Funding Notification","University (03-25-25): No guaranteed funding provisions included in University's proposal."
"Appointments and Reappointments","Appointment Letter Content Requirements","University (03-25-25): Letters include 6 basic items plus course assignment for TAs, link to union contract, and FERPA waiver information."
"Appointments and Reappointments","Written Appointment Procedures","University (03-25-25): No requirements for written departmental appointment procedures in University's proposal."
"Appointments and Reappointments","Minimum Appointment Term","University (03-25-25): All stipended appointments for at least 1 academic term; University makes reasonable efforts for longer terms when possible."
"Appointments and Reappointments","Union Contract Reference","University (03-25-25): Appointment letters must include link to union contract."
"Appointments and Reappointments","FERPA Waiver Information","University (03-25-25): Appointment letters must include information about submitting FERPA waiver for release of information to union."
"Hourly Assignments","Assignment Terms and Conditions","University (09-19-24): Length set in posting; subject to availability and funding; subject to change or cancellation; no guarantee of additional assignments; maintains work study rules."
"Artificial Intelligence","AI Definition and Scope","Union (01-28-25, Rejected): Comprehensive 5-part definition including machine learning, neural networks, cognitive systems, automated decision-making; excludes simple automation."
"Artificial Intelligence","Job Replacement Prohibition","Union (01-28-25, Rejected): University cannot use AI to replace any position governed by agreement or traditionally filled by GSW, directly or indirectly."
"Artificial Intelligence","Employment Decision Prohibition","Union (01-28-25, Rejected): AI cannot be used in hiring, position distribution, salaries, discipline, dismissals due to risks of discrimination."
"Artificial Intelligence","Monitoring Prohibition","Union (01-28-25, Rejected): AI cannot monitor GSW performance, location, device usage, or productivity; no AI monitoring software required on devices."
"Artificial Intelligence","Oversight and Approval Process","Union (01-28-25, Rejected): 3-month notice before AI implementation; must provide testing and performance data; Union approval required before implementation."
"Artificial Intelligence","Monitoring and Reporting Requirements","Union (01-28-25, Rejected): Appointed contact for AI accountability; semester reports on model performance; annual inventory and audits of all AI systems."
"Artificial Intelligence","AI Grievance Procedures","Union (01-28-25, Rejected): Pool of neutral experts; extended grievance timeline; expert access to AI system within 14 days; expert testimony at each step."
"Artificial Intelligence","Employee Data Prohibition","Union (01-28-25, Rejected): All GSW data prohibited from use in AI systems without explicit consent, regardless of purpose or anonymity."
"Artificial Intelligence","Digital Replicas - Definition and Prohibition","Union (01-28-25, Rejected): Defines Employment-Based and Independently Created Digital Replicas; University cannot use digital replica without consent and separate bargaining."
"Artificial Intelligence","Digital Alteration Prohibition","Union (01-28-25, Rejected): Cannot digitally alter audio, video, or recordings of GSWs without consent and bargaining; must include description of intended alterations."
"Automation","Automation Definition","Union (01-28-25, Rejected): Automation defined as replacement of human functions by machines, robots, software, or any technology that diminishes need for human labor."
"Automation","Position Automation Prohibition","Union (01-28-25, Rejected): Cannot automate any GSW position; if position automated or hours reduced, GSW given additional work to make up lost hours."
"Automation","Automated Monitoring Prohibition","Union (01-28-25, Rejected): Cannot automate monitoring of GSW duties, performance, location; exception for security/emergency/disability accommodation/access control if info not misused."
"Automation","Digital Replicas","Union (01-28-25, Rejected): Cannot use digital replica of GSW without consent and separate bargaining; Digital Replica definition references Article XX: Artificial Intelligence."
"Discipline and Dismissal","Just Cause Standard","Union (03-25-25): University shall not discipline or dismiss GSW without just cause."
"Discipline and Dismissal","Academic vs Non-Academic Scope","Union (03-25-25): Academic matters at University sole discretion, not grievable; discipline only for non-academic misconduct with just cause."
"Discipline and Dismissal","Definition of Discipline","Union (03-25-25): Discipline includes written warnings, unpaid suspensions, dismissal/discharge; paid administrative leave permitted without prior notice to investigate."
"Discipline and Dismissal","Initial Remediation","Union (03-25-25): Department/supervisor shall make every effort to address concerns before disciplinary action; no decision at this stage precedential."
"Discipline and Dismissal","Investigatory Notice Requirements","Union (03-25-25): For discharge cases, written notice includes conduct at issue, that discharge being considered, right to Union representative."
"Discipline and Dismissal","Investigatory Meeting Rights","Union (03-25-25): Only for discharge; Union rep can advise GSW; availability cannot delay meeting."
"Discipline and Dismissal","Disciplinary Hearing","Union (03-25-25): GSW told final outcome, evidence, reports, explanation for action; right to Union rep who can represent and speak."
"Discipline and Dismissal","Dismissal Appeal Process","Union (03-25-25): Union files Step 2 grievance within 20 days; University maintains GSW in pay status until decision rendered."
"Discipline and Dismissal","Confidentiality","Union (03-25-25): Confidentiality consistent with FERPA; Union agrees to cooperate with FERPA compliance procedures."
"Employment Records","Definition and Scope","Union (04-11-25): For stipended - appointment letter plus discipline unrelated to academics plus written performance evaluations; for hourly - SEGAF info; excludes FERPA-covered and grievance records."
"Employment Records","Required Information Fields","Union (04-11-25): Different fields for stipended vs hourly; includes NUID, dates, pay, hours, frequency, supervisor, department."
"Employment Records","Access Rights - Timing","Union (04-11-25): Online direct systems access within 6 months of agreement start; once per academic term by request until then."
"Employment Records","Union Representative Access","Union (04-11-25): Access through FERPA release identified in separate article; 1 year validity if not specified."
"Employment Records","Correction and Removal Rights","Union (04-11-25): University 'shall consider' disagreement emails from GSW and 'may adjust' records; email becomes part of record."
"Employment Records","New Materials Notification","Union (04-11-25): Within 2 business days if material added outside normal course of business and systems can accommodate."
"Employment Records","Confidentiality and Law Enforcement","Union (04-11-25): Except when required by lawful subpoena, court order, or other applicable law; University will endeavor to inform GSWs where possible."
"Employment Records","Retention Period","Union (04-11-25): Retained per University policies but no less than 8 years after employment; no disciplinary records post-employment."
"Employment Records","Grievance Rights","Union (04-11-25): Current and former GSWs have right to file grievance alleging violation of this article."
"Employment Records","Discipline Changes in Record","Union (04-11-25): Changes to discipline outcome as result of grievances and arbitration will be reflected in GSW employment record."
"FERPA Waiver Form","Form Purpose and Content","Union (02-18-25): Comprehensive consent form for release of non-directory information to GENU-UAW; includes opt-in or opt-out options; lists 20+ data elements."
"Grievance and Arbitration","Grievance Definition","Union (02-18-25): Grievance is complaint/dispute arising from application or interpretation of specific provision; sole exclusive process for resolving grievances."
"Grievance and Arbitration","Intent and Objective","Union (02-18-25): Objective to encourage prompt resolution; parties make facts available; Union may present policy grievance at any step."
"Grievance and Arbitration","Filing Requirements","Union (02-18-25): Written statement of facts, provisions violated, remedy requested; must be signed/dated by Union rep or electronically filed; 90-day filing deadline."
"Grievance and Arbitration","Informal Resolution","Union (02-18-25): Meet with University rep closest to issue at Union discretion; may terminate at Union discretion; extends filing deadline by days pursued; no precedent."
"Grievance and Arbitration","Step 1 Process","Union (02-18-25): File with Dean and Labor Operations within 90 days; Dean meets within 5 calendar days; Dean decides within 10 calendar days."
"Grievance and Arbitration","Step 2 Process","Union (02-18-25): Appeal to Provost within 21 days; meet within 5 calendar days with Provost and Labor Operations; Provost decides within 10 calendar days."
"Grievance and Arbitration","Arbitration Timeline","Union (02-18-25): Submit to arbitration within 45 days of Step Two response; file with President and Labor Operations."
"Grievance and Arbitration","Arbitration Process and Authority","Union (02-18-25): AAA or Labor Relations Connector rules; decision within 45 days; arbitrator cannot add/subtract/modify terms; costs split equally."
"Grievance and Arbitration","Arbitrator Panel","Union (02-18-25): Standing panel of 17 arbitrators; 90 days to agree; each party may strike 2 per year."
"Grievance and Arbitration","Union Representation Rights","Union (02-18-25): University forwards to Union within 5 calendar days; Union permitted at all meetings; documents sent to Union at filing."
"Grievance and Arbitration","No Retaliation Protection","Union (02-18-25): No reprisal for filing/participating; documents kept separate from personnel files; witnesses released from assignments when necessary."
"Grievance and Arbitration","Time Limits and Procedures","Union (02-18-25): Calendar days counting; mutual agreement for extensions; semester transitions and winter break accommodations."
"Grievance and Arbitration","Expedited Discharge Grievance","Union (02-18-25): File with Campus Contract Administrator within 15 days; meeting within 5 days; response within 5 days."
"Grievance and Arbitration","Release Time for Hearings","Union (02-18-25): Paid leave for arbitration hearings when conflicts cannot be rescheduled, with 15-day advance request; witnesses get paid leave for testimony."
"Grievance and Arbitration","University Grievances Against Union","Union (02-18-25): University may file grievance against Union; present to lead Union Steward within 14 days; if not resolved, may submit to arbitration."
"Health and Safety","Task Safety Definitions","Union (04-11-25): Defines dangerous (threat never mitigated), hazardous (mitigated by training/resources), unsafe (mitigated by training) tasks."
"Health and Safety","Unsafe Conditions Ban","Union (04-11-25): GSW not assigned dangerous tasks; not assigned hazardous/unsafe without required training/resources; University provides safe workplace."
"Health and Safety","Safe Workspace and Refusal Rights","Union (04-11-25): GSW can refuse unsafe work without penalty; if threat exists, resolved promptly; if unable, remote work until resolved; full stipends until resolved."
"Health and Safety","Third Party Fact-Finding","Union (04-11-25): ECOS, OARS, and Union may initiate fact-finding with University payment; expedited arbitration for disputes."
"Health and Safety","PPE Provision","Union (04-11-25): University provides PPE deemed necessary by OSHA or applicable regulations."
"Health and Safety","Ventilation Standards","Union (04-11-25): Meet applicable laws/regulations; 8 ACH, MERV 13+ filters, CDC/OSHA compliance; 6-month implementation."
"Health and Safety","CO2 Monitoring","Union (04-11-25): University provides portable CO2 sensors at no cost upon request; if room exceeds 800 PPM, immediate steps to improve ventilation."
"Health and Safety","Far UV Lighting Study","Union (04-11-25): University and Union study feasibility of installing Far UV lighting to protect from airborne pathogens prior to end of agreement."
"Health and Safety","Workplace Injury Coverage","Union (04-11-25): If workplace injury prevents work, GSW continues receiving tuition/fee waivers for contracted period or up to 2 years; worker's compensation eligible."
"Health and Safety","Temperature Control","Union (04-11-25): Workspaces maintain reasonable temperature 66F-78F; if outside range, resolve problem or provide alternative workspace."
"Health and Safety","Bathroom Access","Union (04-11-25): Map of gender-neutral bathrooms; GSWs not prevented from using bathroom of choice; within building and 5-minute walk if possible."
"Health and Safety","Menstrual Products","Union (04-11-25): University shall routinely provide menstrual products in bathrooms at no cost regardless of gender."
"Health and Safety","Off-Site and International Work","Union (04-11-25): For international work, info through Global Safety webpage; GSWs may decline unsafe locations including US states unsafe for protected classes."
"Health and Safety","First Aid Supplies","Union (04-11-25): Proper first aid kits maintained including basic supplies; workspace-specific items by request; training at no cost per OARS/ECOS."
"Health and Safety","Report Sharing and Data Access","Union (04-11-25): If GSW informs ECOS or OARS, Union informed within 24 hours; past data provided within 15 days if requested."
"Health and Safety","Health and Safety Testing","Union (04-11-25): If GSWs expected to work during outbreak/contamination, University offers relevant tests at no cost until issue resolved."
"Health and Safety","Public Health Notifications","Union (04-11-25): University sends advisories about emergencies; provides N95 masks, medications, tests, vaccinations at no cost each semester."
"Health and Safety","Public Health Testing Requirements","Union (04-11-25): During public health crisis, if testing doesn't satisfy GSW, entitled to remote work or reassignment to comparable remote position."
"Health and Safety","Masking Requests","Union (04-11-25): GSWs may request universal masking in workspaces; if doesn't satisfy, entitled to remote work or reassignment."
"Health and Safety","Infectious Disease Work Policy","Union (04-11-25): Not required to work for 10 days after positive test/symptoms; supervisors may not pressure; use available paid leave; positive test is FMLA condition."
"Holidays","Official Holidays List","Union (12-20-24): 17 specific holidays including New Year's (2 days), MLK, Presidents, Cesar Chavez, Patriots, May Day, Memorial, Juneteenth, July 4, Labor, Indigenous Peoples, Election, Veterans, Thanksgiving (3 days), Dec 24-31."
"Holidays","Calendar Setting Authority","Union (12-20-24): University sets academic calendar and designates official holidays as 'Section 6-university'; Union's 17 holidays in Section 1.A."
"Holidays","Required Holiday Work","Union (12-20-24): May be required in exceptional circumstances; receive overtime rate OR equivalent vacation days; supervisor approval for alternate days."
"Holidays","Stipend Definition","Union (12-20-24): Term 'stipended graduate students' for benefits means 12-month appointment with 20 hours/week."
"Holidays","Holiday Observance Rules","Union (12-20-24): When holiday on Sunday observe Monday, Saturday observe Friday; birthday doesn't follow rule; 1 paid day for new year of choice; up to 5 hours paid time to vote."
"Holidays","Religious and Cultural Holidays","Union (12-20-24): University recognizes religious/cultural holidays not on official list; shall not require work on observed holidays; advance notice requested."
"Holidays","Recesses","Union (12-20-24): Recesses per University and School calendars."
"Holidays","Emergency Closures","Union (12-20-24): When University closed due to emergency, GSWs are released."
"Intellectual Property","Ownership Rights","Union (03-11-25): GSWs governed by University Copyright and Patent policies; IP created solely by GSW not subject to net licensing revenues until exceeds $5000."
"Intellectual Property","Open Source Rights","Union (03-11-25): Where permitted by external funding, GSWs may place work under permissive software licenses."
"Intellectual Property","Plain Language Policies","Union (03-11-25): University will maintain plain-language version of IP-related policies including Copyright and Patent policies for GSWs."
"Intellectual Property","Non-Retaliation","Union (03-11-25): University shall not retaliate against GSW for enforcing IP rights or participating in investigations including plagiarism."
"International Worker Rights","Equal Status Clause","Union (03-11-25): University recognizes right for all GSWs to join union regardless of citizenship, immigration, or documentation status."
"International Worker Rights","Ongoing Communication","Union (03-11-25): LMC discusses international matters; annual OGS meeting or upon significant immigration law changes; parties meet to determine adjustments."
"International Worker Rights","Privacy - Subpoena Notice","Union (03-11-25): University provides 1 calendar day notice to GSW of subpoena or investigation seeking FERPA information."
"International Worker Rights","Privacy - Information Sharing","Union (03-11-25): Will not provide immigration/personal info to ICE without GSW consent except lawful subpoena."
"International Worker Rights","Privacy - Agent Access","Union (03-11-25): Shall not permit federal immigration agent to enter private University property except as required by lawful subpoena or order."
"International Worker Rights","Privacy - Agent Compliance","Union (03-11-25): University makes reasonable efforts to ensure outside agents comply with legal processes when provided prior notice."
"International Worker Rights","Privacy - Valid Warrant Procedures","Union (03-11-25): If served with valid DHS warrant, University requests private setting for questioning GSWs."
"International Worker Rights","Privacy - Investigation Notification","Union (03-11-25): Union educates members to contact Union if aware of investigation; University notifies Union within 1 day after learning."
"International Worker Rights","Privacy - Compliance with Laws","Union (03-11-25): All applicable laws including laws regarding protection of privacy of all Bargaining Unit members."
"International Worker Rights","Equal Workload","Union (03-11-25): International GSWs have same rights under Agreement; protected against discrimination in type, nature, and quantity of work."
"International Worker Rights","Document Provision","Union (03-11-25): University continues practice of promptly providing documents necessary for immigration matters."
"International Worker Rights","Immigration Resources","Union (03-11-25): University maintains list of attorneys and immigration agencies including pro bono; GSWs may choose to contact."
"International Worker Rights","Reimbursement Fund","Union (03-11-25): $675,000 annual fund for international GSW reimbursement; up to $1,800 per event per GSW for visa/legal fees."
"International Worker Rights","Attorney Access","Union (03-11-25): University sponsors immigration clinic once per semester where GSWs may sign up to speak to immigration attorney."
"International Worker Rights","Work Authorization Cooperation","Union (03-11-25): University cooperates with work authorization documentation in timely manner; no loss of seniority/compensation due to name or SSN changes."
"International Worker Rights","ESL Resources","Union (03-11-25): University continues making available ESL resources/classes plus on-campus ESL tutoring; support through OGS and relevant offices."
"International Worker Rights","Inability to Return to US","Union (03-11-25): If GSW unable to return due to immigration status, University considers reasonable efforts to arrange remote work when legally permissible."
"International Worker Rights","Loss of Work Authorization","Union (03-11-25): If GSW no longer authorized in US, University assists with continuing education at international Northeastern campus including timely transcripts."
"International Worker Rights","Expedited Grievances for Visa Issues","Union (03-11-25): If visa/employment status threatened, Union may utilize expedited grievance procedure; University refrains from status changes until resolved."
"International Worker Rights","Existing Benefits Protection","Union (03-11-25): All existing tools, advising, benefits maintained for life of agreement or replaced with similar equivalents."
"International Worker Rights","Insurance Benefits Equality","Union (03-11-25): International GSWs given same insurance benefits as non-international GSWs subject to admission/funding commitment terms."
"International Worker Rights","Work Authorization Response Time","Union (03-11-25): Visa work authorization (CPT, OPT, STEM OPT, I-20) processed within 15 business days; OGS creates process for emergency/urgent requests."
"Job Postings","Open Position Definition","University (03-11-25): Webpage by September 2025 for colleges to post teaching or research positions for eligible GSWs who lost funding."
"Job Postings","Central Website Requirements","University (03-11-25): Unified webpage by September 1, 2025 for all hourly and stipended GSWs; clearly posted on SEGAF; units link to it; post within 15 days of vacancy."
"Job Postings","Posting Content Requirements","University (03-11-25): 15 items including title, dates, department, terms, scope, schedule, contact, CBA statement with link, anti-discrimination, DEI contacts, retention statement."
"Job Postings","Applicant Notification","University (03-11-25): Inform status through email updates; notify unsuccessful as soon as possible but no later than 7 business days after acceptance."
"Job Postings","Selection Procedures and Timelines","University (03-11-25): No tuition cost in hiring decisions; extend offers within 3 weeks; offers via website with email including benefits information."
"Management Rights","University Academic and Management Rights","University (06-18-24): Comprehensive 24-point enumeration of exclusive University rights including operations, workforce, assignments, evaluation, discipline, facilities, calendar, budgeting, tuition, academic standards."
"Past Practices / No Past Practices","Past Practice Protection","University (02-18-25): Benefits not specified in agreement do not create rights; economic benefits may continue at University discretion throughout Agreement life."
"Past Practices / No Past Practices","No Past Practice Doctrine","University (02-18-25): Article titled 'NO PAST PRACTICE' - practices not binding on University; changes only by written agreement signed by authorized agents."
"Past Practices / No Past Practices","Economic Benefits Continuation","University (02-18-25): Economic benefits and terms in effect may continue at the discretion of the University."
"Comprehensive and Complete Agreement","Waiver of Bargaining Rights","University (09-19-24): Parties had unlimited right to make demands; waive right to bargain on Agreement-covered subjects for life of Agreement; changes only by written agreement."
"Comprehensive and Complete Agreement","Legal Fee Provision","University (09-19-24): If party brings legal action asserting failure to bargain over covered subject, that party pays costs and legal fees of defending party."
"No Strike No Lockout","Strike Prohibition","University (07-16-24): Union will not cause/support strikes, sympathy strikes, stoppages, slowdowns, withholding grades, or interference with University operations."
"No Strike No Lockout","Strike Violation Discipline","University (07-16-24): Members engaging in prohibited conduct subject to discipline including discharge; no grievance recourse except to contest participation."
"No Strike No Lockout","Union Obligations During Strike","University (07-16-24): Union must immediately inform members to cease prohibited actions; distribute written notice within 24 hours that stoppage not authorized."
"No Strike No Lockout","University Legal Rights","University (07-16-24): Nothing waives University's right to legal/equitable relief in court for violation of article."
"No Strike No Lockout","Lockout Prohibition","University (07-16-24): University agrees not to lock out unit members during term of Agreement or any extension."
"Professional Development","Importance Statement","Union (03-25-25): University and Union agree professional development opportunities may be important to GSWs."
"Professional Development","On-Campus Opportunities","Union (03-25-25): University shall continue practice of making opportunities available to GSWs and other graduate students free of charge."
"Professional Development","Annual Funding Amount","Union (03-25-25): GSWs access up to $750/year for scholarly/educational/professional purposes with advisor/supervisor approval."
"Professional Development","Funding Mechanism","Union (03-25-25): All GSWs given access to Concur for approved reimbursement; requests require written approval; denials don't count against limit unless discriminatory."
"Professional Development","Existing Programs Protection","Union (03-25-25): PhD travel funding for FY24-25 continues; professional development funds continue throughout Agreement; if diminished/eliminated, must negotiate impacts."
"Training","Training Importance and Authority","Union (03-25-25): University and Union agree training may be important; University maintains support for programs it determines necessary."
"Training","Required Training Provision","Union (03-25-25): University provides all necessary training; covers costs; GSWs paid at current rate provided not in addition to stipend/hourly."
"Training","Training Notification","Union (03-25-25): Notify of required training as part of appointment notification or as soon as practicable in advance."
"Training","Union Review and Input","Union (03-25-25): Union may make recommendations on training concerns."
"Training","Optional Additional Training","Union (03-25-25): GSW or Union may propose additional training for good-faith consideration; if approved, University covers costs."
"Training","Professional Licensing","Union (03-25-25): Allowed time off at pay for University-required licensing; may request time off for degree-related or conference travel, not precedential."
"Union Officers and Stewards","Union Stewards","University (03-25-25): Union may designate stewards appropriate to unit size; reasonable release time to process grievances and act as Union rep."
"Union Officers and Stewards","Bargaining Committee Release Time","University (03-25-25): University provides reasonable release time when necessary for bargaining committee during negotiating CBA."
"Union Officers and Stewards","Official Points of Contact","University (03-25-25): University works with stewards and bargaining committee members as Union representatives for grievances per CBA provisions."
"Union Officers and Stewards","Timeline Extensions for Officers","University (03-25-25): Union officers may apply for extension of statute of limitations up to 3 years; decision appealable; neither shall unreasonably deny."
"Union Officers and Stewards","Stipended Union Positions","University (03-25-25): 3 GSWs of Union's choosing get released time at average TA stipend year-round with tuition waivers; Union supervised; not counted in department limits."
"Union Officers and Stewards","Meeting Space","University (03-25-25): University will make available suitable meeting space for general Union membership meetings up to twice per month upon request."
"Professional and Academic Freedom","Academic Freedom Rights","Union (03-11-25): References AAUP 1940 Statement; freedom from political pressure; discretion over research/teaching for sole/first authors or IoR; coordinate with supervisors where directly supervised."
"Professional and Academic Freedom","Political Expression","Union (03-11-25): GSWs may freely express political beliefs/affiliations in work environment consistent with Article XX anti-discrimination provisions."
"Professional and Academic Freedom","Academic Retaliation Prohibition","Union (03-11-25): University shall not retaliate in academic form for exercising Agreement rights; includes targeting grades, assessments, recommendations, opportunities."
"Professional and Academic Freedom","Arbitrator Qualifications","Union (03-11-25): Addressed using Grievance and Arbitration process in Article XX as sole means of addressing violations."
"Professional and Academic Freedom","Extramural Pursuits","Union (03-11-25): No restraint on extramural pursuits; right to express as society/field members; right to assemble/protest; right to petition on governance without retaliation."
"Prohibition Against Discrimination and Harassment","Non-Discrimination","Union (04-11-25): Equal opportunity; no discrimination on 20 categories including race, caste, native language, sex, gender identity, political affiliation, union activities; failing to provide accommodation is discrimination."
"Prohibition Against Discrimination and Harassment","Reasonable Accommodations","Union (04-11-25): Failing to provide reasonable accommodation is discrimination (incorporated into non-discrimination definition)."
"Prohibition Against Discrimination and Harassment","Sexual Harassment","Union (04-11-25): University committed to safe environment; sexual harassment includes quid pro quo (occurs when offered regardless of acceptance), denies equal access, or sexual assault/violence/stalking."
"Prohibition Against Discrimination and Harassment","Abusive Behavior","Union (04-11-25): No tolerance for bullying - repeated health-harming mistreatment; includes 7 behaviors: slandering, name-calling, harmful jokes, abusive remarks, public humiliation, unreasonable exclusion, constant criticism."
"Prohibition Against Discrimination and Harassment","Gender Identity","Union (04-11-25): Support for transgender/nonbinary/gender non-conforming; update employment AND student records on request including persistent identifiers; no legal docs required except where law requires."
"Prohibition Against Discrimination and Harassment","Disability and Health Protections","Union (04-11-25): Right to workplace free from harassment; intentional/negligent behavior to harm health is discrimination including causing illness, disregarding needs, tampering with accommodations, mocking status."
"Prohibition Against Discrimination and Harassment","Immigration Status","Union (04-11-25): University committed to safe/welcoming environment regardless of immigration status; will notify Union if learns of investigation; won't infringe privacy without consent."
"Prohibition Against Discrimination and Harassment","Academic School of Thought","Union (04-11-25): No GSW denied appointment based on academic school of thought."
"Prohibition Against Discrimination and Harassment","Supervisor Misconduct","Union (04-11-25): Discrimination, sexual harassment/misconduct, abusive behavior, power-based harassment by supervisors prohibited when interferes with employment participation."
"Prohibition Against Discrimination and Harassment","Retaliation","Union (04-11-25): Retaliation forbidden for good faith reports/participation in investigations; includes threatening, intimidating, harassing, coercing, discouraging from protected activity."
"Prohibition Against Discrimination and Harassment","Interim Remedies","Union (04-11-25): During investigations, remedies include different workstation/schedule/location/supervisor; decision within 2 business days; if not immediate, timeline within 5 business days."
"Prohibition Against Discrimination and Harassment","Grievance Timeline","Union (04-11-25): GSW has 365 days to file grievance for harassment or discrimination cases."
"Prohibition Against Discrimination and Harassment","Code of Conduct Update","Union (04-11-25): NU Code of Student Conduct updated at start of agreement to include Sections 1-10 commitments for all students and employees."
"Recognition","Union Recognition","University (03-25-25): University recognizes UAW and GENU-UAW as exclusive bargaining representative for employees in bargaining unit."
"Recognition","Bargaining Unit Composition","University (03-25-25): All grad students providing instructional/research services; performing degree work not excluded; excluded: undergrads, fellows, managers, guards, supervisors."
"Recognition","Fellows","University (03-25-25): Fellows are grad students with funding but no work requirement; grad students with funding and work requirement should not be given fellow title; fellows with work requirements included."
"Recognition","Stipended Graduate Students Definition","University (03-25-25): Term 'stipended graduate students' means PhD students funded by SGA."
"Recognition","Coverage During Non-Employment","University (03-25-25): In academic terms where grad student does not hold covered position, not covered by CBA for that term."
"Sub-Contracting","Work Contracting Prohibition","Union (03-15-24): No work ordinarily performed by or which could be performed by employee covered by Agreement shall be contracted out to person not covered."
"Sub-Contracting","Automation Prohibition","Union (03-15-24): No work shall be automated including AI or duplication/future use of GSW work product (text, audio, video) created in course of work."
"Successorship","Binding on Successors","Union (01-28-25, Rejected): Agreement binding upon successors and assignees; no changes to provisions by change in ownership or management of either party."
"Titles and Classifications","Detailed Classification System","Union (03-25-25): 5 salaried positions (TA, IoR, RA, RA2, Fellow similar to RA) and 8 hourly positions with detailed duty descriptions."
"Titles and Classifications","Head TA/RA Positions","Union (03-25-25): Supervisors may designate Head TA or Head RA with additional administrative duties; designation comes with additional compensation."
"Titles and Classifications","Classification Modification Process","Union (03-25-25): No modifications to classifications unless agreed by both parties; Administration reports new classifications within 30 days."
"Titles and Classifications","Salary to Hourly Conversion Protection","Union (03-25-25): Not intent to convert salaried to hourly; such modifications not made unless agreed by both parties."
"Workspace and Materials","Workspace Access - Determination Authority","University (03-25-25): University provides free access to services/materials/facilities University and/or supervisor determines necessary; different provisions for hourly workers by hours worked."
"Workspace and Materials","Workspace Access - Desk/Office Space Assignment","University (03-25-25): Individually assigned desk/office for stipended GSWs and hourly working 15+ hours/week; hourly under 15 hours get dedicated shared space; outside hazardous areas."
"Workspace and Materials","Workspace Access - Lockable Space","University (03-25-25): Desk/office must be lockable and secured as other areas; GSWs have access to their assigned space for full work day and after hours."
"Workspace and Materials","Private Locations","University (03-25-25): Access to private locations for grading, office hours, confidential materials; may use Teams/Zoom if no appropriate meeting location."
"Workspace and Materials","Shared Workspaces","University (03-25-25): University shall not require stipended GSWs and hourly 15+ hours to share workspace without agreement; may volunteer to share; remote work accommodated if volunteer."
